Airport Name,ID,Latitude (Decimal),Longitude (Decimal)
TROY 1WF,1WF,40.01479444,-84.19808056
UPPER,56D,40.88336944,-83.31453056
URBANA I74,I74,40.13237222,-83.75406389
URBANA 38I,38I,40.09116944,-83.68936944
VAN WERT VNW,VNW,40.86383056,-84.60635833
VERSAILLES VES,VES,40.20441111,-84.53242222
WADSWORTH 3G3,3G3,41.00306111,-81.75652222
WADSWORTH 15G,15G,41.02818333,-81.79814722
WAKEMAN I64,I64,41.29349167,-82.37236111
WAPAKONETA AXV,AXV,40.49354722,-84.298075
WARREN 62D,62D,41.26702778,-80.92736111
WASHINGTON,I23,39.57040278,-83.42051389
WAUSEON USE,USE,41.60977778,-84.12718889
WAVERLY EOP,EOP,39.16697222,-82.92833333
WAYNESVILLE 4ØI,4ØI,39.50533889,-84.12188056
West Lafayette,8ØG,40.24785833,-81.73606944
WILLARD 8G1,8G1,41.03875,-82.72456389
WILLOUGHBY LNN,LNN,41.68402778,-81.38975
WILMINGTON ILN,ILN,39.42791667,-83.79211111
WILMINGTON I66,I66,39.50247778,-83.86331111
WILMINGTON 2B6,2B6,39.43756111,-83.70825556
WOODSFIELD 4G5,4G5,39.77905278,-81.10278056
WOOSTER BJJ,BJJ,40.87483333,-81.88825
YOUNGSTOWN Ø4G,04G,41.13047222,-80.61958333
YOUNGSTOWN 4G4,4G4,40.96179444,-80.67732778
YOUNGSTOWN/W,YNG,41.26158333,-80.68036111
ZANESVILLE ZZV,ZZV,39.94444722,-81.89209444
ZANESVILLE 42I,42I,40.00729167,-82.01348056
BANNOCK 2D6,2D6,40.10701389,-80.97537222
CANTON 5D1,5D1,40.84016667,-81.30833333
DAYTON 5D7,5D7,39.75755556,-84.18839444
TOLEDO 6T2,6T2,41.65421667,-83.53132222
TOLEDO 2C9,2C9,41.62222222,-83.553375
PELEE ,CYPT,41.7775,-82.678056
WINDSOR,YQG,42.276167,-82.955333
LEAMINGTON,CLM2,42.024667,-82.525
